State,Year_Num,Target_Improved,Next_LFPR_Change,LogisticRegression_Prediction,LogisticRegression_Probability,RandomForest_Prediction,RandomForest_Probability,LFPR,WPR,UR,Cohort,Prediction_Year,LFPR_Median,Focus_Areas
Andaman and Nicobar Islands,2022,0,-1.6583333333333314,1,0.9842810425416406,1,0.8200559163059166,48.708333333333336,35.85,26.233333333333334,High Potential,2022,34.537499999999994,"Sustain positive momentum while examining employment quality, retention and advancement."
Andhra Pradesh,2022,0,-1.5,1,0.9833964947458164,0,0.4807528320952396,39.63333333333333,36.641666666666666,8.674999999999999,At Risk,2022,34.537499999999994,Investigate weakening momentum and examine sectoral and employment-quality changes.
Arunachal Pradesh,2022,1,8.808333333333337,1,0.9478498698954192,1,0.5509256587198741,44.48333333333333,40.31666666666667,12.016666666666666,High Potential,2022,34.537499999999994,"Sustain positive momentum while examining employment quality, retention and advancement."
Assam,2022,1,19.291666666666668,1,0.9794268945747284,1,0.7312760341246133,20.3,18.116666666666667,9.433333333333332,Growing but Constrained,2022,34.537499999999994,"Identify factors associated with positive momentum and examine skills, access and employment opportunities."
Bihar,2022,1,5.516666666666666,1,0.9462295451190924,1,0.5323458052003844,15.891666666666666,15.141666666666666,6.8,Growing but Constrained,2022,34.537499999999994,"Identify factors associated with positive momentum and examine skills, access and employment opportunities."
Chandigarh,2022,1,8.308333333333334,1,0.9395230174391094,1,0.5243810919420333,23.316666666666663,21.75,5.891666666666667,Growing but Constrained,2022,34.537499999999994,"Identify factors associated with positive momentum and examine skills, access and employment opportunities."
Chhattisgarh,2022,0,1.2083333333333428,1,0.9832527007025936,1,0.8671882613318541,48.18333333333333,45.916666666666664,6.383333333333333,High Potential,2022,34.537499999999994,"Sustain positive momentum while examining employment quality, retention and advancement."
Delhi,2022,1,6.091666666666665,1,0.9387730957690744,0,0.4353383755620596,11.108333333333334,10.808333333333332,2.158333333333333,Low Participation,2022,34.537499999999994,Investigate participation barriers; strengthen foundational skills and access to suitable employment opportunities.
Goa,2022,0,-1.9500000000000028,1,0.9689060268169064,1,0.6155286148039703,30.59166666666667,23.383333333333336,22.525,Growing but Constrained,2022,34.537499999999994,"Identify factors associated with positive momentum and examine skills, access and employment opportunities."
Gujarat,2022,0,4.433333333333337,1,0.9706097992781958,0,0.3900360907773189,37.49166666666667,36.65,2.7999999999999994,At Risk,2022,34.537499999999994,Investigate weakening momentum and examine sectoral and employment-quality changes.
Haryana,2022,0,2.8583333333333343,1,0.9658697166503042,1,0.5704349401779596,18.3,16.724999999999998,9.458333333333334,Growing but Constrained,2022,34.537499999999994,"Identify factors associated with positive momentum and examine skills, access and employment opportunities."
Himachal Pradesh,2022,0,-0.7916666666666643,1,0.9892112599836378,1,0.9076061070691288,58.291666666666664,50.75833333333333,16.3,High Potential,2022,34.537499999999994,"Sustain positive momentum while examining employment quality, retention and advancement."
Jammu and Kashmir,2022,0,2.591666666666669,1,0.9856322243268,1,0.5406335934716149,40.333333333333336,35.13333333333333,15.858333333333334,High Potential,2022,34.537499999999994,"Sustain positive momentum while examining employment quality, retention and advancement."
Jharkhand,2022,0,3.7666666666666657,1,0.9845544085700458,0,0.3749676872834766,34.0,33.358333333333334,3.9,Low Participation,2022,34.537499999999994,Investigate participation barriers; strengthen foundational skills and access to suitable employment opportunities.
Karnataka,2022,0,-0.68333333333333,1,0.9740711936285384,0,0.3194571907038745,33.541666666666664,32.09166666666667,4.883333333333334,Low Participation,2022,34.537499999999994,Investigate participation barriers; strengthen foundational skills and access to suitable employment opportunities.
Kerala,2022,0,2.8999999999999986,1,0.9812220390512082,0,0.4370849863985704,34.65833333333333,28.433333333333337,19.6,At Risk,2022,34.537499999999994,Investigate weakening momentum and examine sectoral and employment-quality changes.
Ladakh,2022,0,-4.408333333333331,1,0.9902967054012,1,0.622711876299898,45.74166666666667,39.208333333333336,18.158333333333335,High Potential,2022,34.537499999999994,"Sustain positive momentum while examining employment quality, retention and advancement."
Lakshadweep,2022,0,4.133333333333331,1,0.9676171526331168,1,0.5592951816566474,15.841666666666669,12.266666666666666,23.141666666666666,Growing but Constrained,2022,34.537499999999994,"Identify factors associated with positive momentum and examine skills, access and employment opportunities."
Madhya Pradesh,2022,1,7.69166666666667,1,0.9806475564217664,0,0.3289227137385032,34.358333333333334,33.50833333333333,3.8666666666666663,Low Participation,2022,34.537499999999994,Investigate participation barriers; strengthen foundational skills and access to suitable employment opportunities.
Maharashtra,2022,0,-0.0250000000000056,1,0.9783165554842636,0,0.3389085644890597,35.19166666666667,33.791666666666664,4.85,At Risk,2022,34.537499999999994,Investigate weakening momentum and examine sectoral and employment-quality changes.
Manipur,2022,1,12.758333333333333,1,0.9546469763524624,1,0.6052232461920618,27.608333333333334,25.525,8.766666666666667,Growing but Constrained,2022,34.537499999999994,"Identify factors associated with positive momentum and examine skills, access and employment opportunities."
Meghalaya,2022,1,9.258333333333333,1,0.9787177162820678,1,0.7841537670115255,48.06666666666666,41.391666666666666,15.433333333333335,High Potential,2022,34.537499999999994,"Sustain positive momentum while examining employment quality, retention and advancement."
Mizoram,2022,0,-2.74166666666666,1,0.9776989326093732,0,0.4100263422730051,38.075,36.075,6.516666666666666,At Risk,2022,34.537499999999994,Investigate weakening momentum and examine sectoral and employment-quality changes.
Nagaland,2022,0,0.2166666666666685,1,0.9798470815810668,1,0.8849933947327323,51.53333333333333,47.791666666666664,8.441666666666666,High Potential,2022,34.537499999999994,"Sustain positive momentum while examining employment quality, retention and advancement."
Odisha,2022,0,3.6000000000000014,1,0.9680388861543908,0,0.3432056897999136,36.74166666666667,34.85,6.199999999999999,At Risk,2022,34.537499999999994,Investigate weakening momentum and examine sectoral and employment-quality changes.
Puducherry,2022,0,0.0583333333333371,1,0.9751249987810718,0,0.4168455042914105,33.15,29.941666666666663,10.991666666666667,Low Participation,2022,34.537499999999994,Investigate participation barriers; strengthen foundational skills and access to suitable employment opportunities.
Punjab,2022,0,2.258333333333333,1,0.9634909014970384,1,0.5573898754455863,26.041666666666668,22.791666666666668,12.675,Growing but Constrained,2022,34.537499999999994,"Identify factors associated with positive momentum and examine skills, access and employment opportunities."
Rajasthan,2022,0,3.75833333333334,1,0.9772594876186896,0,0.4193682988159956,37.45,35.275,8.141666666666667,At Risk,2022,34.537499999999994,Investigate weakening momentum and examine sectoral and employment-quality changes.
Sikkim,2022,0,-1.2166666666666617,1,0.9847779787802368,1,0.8697686474824157,54.44166666666666,51.35,5.983333333333333,High Potential,2022,34.537499999999994,"Sustain positive momentum while examining employment quality, retention and advancement."
Tamil Nadu,2022,0,2.433333333333337,1,0.9837707915994928,0,0.3928952822376899,34.416666666666664,31.6,9.891666666666667,Low Participation,2022,34.537499999999994,Investigate participation barriers; strengthen foundational skills and access to suitable employment opportunities.
Telangana,2022,0,3.19166666666667,1,0.9849872364324074,0,0.3996066680740757,37.325,34.833333333333336,8.625,At Risk,2022,34.537499999999994,Investigate weakening momentum and examine sectoral and employment-quality changes.
The Dadra and Nagar Haveli and Daman and Diu,2022,1,5.233333333333334,1,0.9790474683631624,1,0.5551245158108338,38.225,35.300000000000004,7.258333333333333,High Potential,2022,34.537499999999994,"Sustain positive momentum while examining employment quality, retention and advancement."
Tripura,2022,1,9.166666666666664,1,0.9614203216506032,1,0.5222088059800252,29.108333333333334,28.316666666666663,3.525,Growing but Constrained,2022,34.537499999999994,"Identify factors associated with positive momentum and examine skills, access and employment opportunities."
Uttar Pradesh,2022,0,3.5083333333333293,1,0.9680226834799108,1,0.6056641300091378,22.59166666666667,21.59166666666667,6.433333333333334,Growing but Constrained,2022,34.537499999999994,"Identify factors associated with positive momentum and examine skills, access and employment opportunities."
Uttarakhand,2022,1,6.858333333333334,1,0.975062703376944,1,0.6601004853687901,30.53333333333333,28.266666666666666,9.141666666666667,Growing but Constrained,2022,34.537499999999994,"Identify factors associated with positive momentum and examine skills, access and employment opportunities."
West Bengal,2022,1,6.083333333333336,1,0.9663044285077214,1,0.5558471426608147,29.875,28.816666666666663,3.891666666666667,Growing but Constrained,2022,34.537499999999994,"Identify factors associated with positive momentum and examine skills, access and employment opportunities."
